evento,marca_log_utc,marca_alerta_utc,latencia_segundos,regla,agente,id_alerta
e05_01,2026-09-16T22:13:02+00:00,2026-09-16T22:13:04.933000+00:00,2.933,31164,si084_portal_testigo,1789596784.1383135
e05_02,2026-09-16T22:13:04+00:00,2026-09-16T22:13:07.004000+00:00,3.004,31106,si084_portal_testigo,1789596787.1383649
e05_03,2026-09-16T22:13:07+00:00,2026-09-16T22:13:11.016000+00:00,4.016,31106,si084_portal_testigo,1789596791.1384169
